NULL,"business-systems",collaboration,"general-internet",media,networking,unknown
214729,8684,12925,78329,3449,1531087,5747
216492,7466,14403,75219,2428,1509149,5037
217671,6031,14275,73080,2358,1484028,4107
263114,7085,9269,72039,1689,1471175,3866
237738,8086,12977,74033,1670,1448609,3799
211900,7688,7342,70988,1409,1418129,3140
211582,8859,6606,72531,1445,1479985,3039
237240,10038,7950,78711,1105,1492626,3080
241462,8123,11313,76985,1437,1516898,3360
245206,7297,11199,78058,1784,1467828,3892
255397,5218,13442,81403,2188,1468956,4261
253073,5445,13716,82933,3104,1510869,4479
298289,6908,16180,85500,3845,1500669,4845
246169,6886,18905,87263,4116,1535360,5639
231026,7168,19557,90914,4751,1642872,6144
320029,8554,25095,105661,6470,1747212,9034
311951,11570,36530,122908,8645,1899522,15777
307017,17296,44737,145405,11637,2008326,19119
435421,27167,57844,180563,14485,2271287,30256
420397,22048,58366,177899,16489,2588219,27885
442183,16154,72137,179098,17374,2567269,33700
466559,15875,73248,177499,21448,2491249,34135
461428,17327,71281,168197,20301,2548872,24862
435934,15256,58159,151007,16851,2537100,23496
445991,13431,51675,137699,15454,2420129,19455
458186,16358,64016,160353,19640,2597155,23146
475780,20081,65643,177781,17775,2651196,31234
456051,26914,69437,176981,23532,2709855,31772
534406,25558,68773,175569,20517,2642528,34571
518909,20657,65156,168677,18650,2585645,26834
427935,22269,58045,153316,16525,2532306,26459
406198,19542,53264,152332,14029,2477810,22195
323859,17181,44785,140009,12036,2385866,18688
307781,17039,36215,116423,9592,2216533,15625
297197,12503,31811,102723,8552,2069211,10796
294417,18272,28806,96433,6579,1926720,9777
288073,20054,25609,88945,6665,1438517,7758
290174,17070,24898,87524,5877,1447853,9445
245334,15117,22943,85971,4920,1420590,8341
155453,13220,21314,87367,5526,1264811,8867
120404,11480,21500,90714,6272,1372978,11081
113476,8041,22267,88602,6263,1407318,7989
184208,8234,27724,88151,6666,1435226,8190
110835,8035,20535,78095,5659,1390853,10359
110753,8040,16369,82894,4782,1381601,6781
118949,11098,21350,79769,5876,1359847,8767
126514,8849,15774,79009,4420,1419857,5869
129480,6462,14939,72131,4704,1418009,5051